"Address","RoutingKey","Date","Price","FullMarketPrice","VATExclusive","DescriptionofProperty","PropertySizeDesc","OtherPropertiesInThisSale"
"38 RIVERSIDE, CARLOW, CARLOW","R93","23/12/2011","90000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"NO. 6, CLARENCE GATE, KILKENNY ROAD, CARLOW","R93","22/12/2011","69500.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","LESS THAN 38 SQ METRES","NO OTHER PROPERTIES"
"1 RADHARC NA DOIRI, CLONEGAL, CARLOW, CARLOW","Y21","21/12/2011","195000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"KNOCKLISHEN MOR, RATHVILLY, CARLOW","NA","21/12/2011","130000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"MONABRI, BALLON, CO. CARLOW, CARLOW","R93","16/12/2011","81000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"53 GREEN ROAD, CARLOW TOWN, CARLOW","R93","15/12/2011","110000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"6 SPRINGFIELD DRIVE, RATHNAPISH, CARLOW, CARLOW","NA","14/12/2011","80000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"71 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","13/12/2011","129515.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"17 ASHGROVE, TULLOW ROAD, CARLOW, CARLOW","R93","12/12/2011","85000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"1  BROWNSHILL ROAD, CARLOW, CARLOW","R93","09/12/2011","165000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"11 SESKIN ROAD, LEIGHLINBRIDGE, CARLOW","R93","09/12/2011","29397.50","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"34 CLARENCE GATE, KILKENNY RD, CARLOW","R93","06/12/2011","100000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"30 MOYACOMB MEADOW, MAIN STREET, CLONEGAL, CARLOW","NA","02/12/2011","100000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"4 PEMBROKE, CARLOW, CARLOW","R93","02/12/2011","142500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"UNITS AT LODGE MILLS, BAGNELSTOWN, CO CARLOW, CARLOW","NA","01/12/2011","75000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"APT 7 CENTAUR HOUSE, CENTAUR STREET, CARLOW, CARLOW","R93","30/11/2011","126382.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","LESS THAN 38 SQ METRES","NO OTHER PROPERTIES"
"AITH ALAN, RUSSELSTOWN, CARLOW, CARLOW","NA","28/11/2011","325000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"RAHEEN, OLD LEIGHLIN, CARLOW","NA","24/11/2011","229500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"28 RATHSILLAN, TULLOW, CARLOW","R93","22/11/2011","95155.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"BARRACK STREET, CARLOW, COUNTY CARLOW, CARLOW","R93","21/11/2011","150000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"CROSSLOW, TULLOW, CARLOW","R93","21/11/2011","308370.04","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"HILLVIEW HOUSE, PAULVILLE, TULLOW, CARLOW","NA","21/11/2011","170000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"STATION MASTERS HOUSE, BORRIS, CARLOW","R95","21/11/2011","260000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"43 STAPLESTOWN ROAD, CARLOW, CARLOW","R93","18/11/2011","46750.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"10 INCHAPOOKA, BALLYMURPHY, BORRIS, CARLOW","NA","17/11/2011","150000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"19 HUNTINGDON COURT, CARLOW, CARLOW","R93","17/11/2011","110000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"EAGLE HILL, HACKETSTOWN, CARLOW","R93","14/11/2011","20000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"110 GREEN ROAD, GREEN ROAD, CARLOW TOWN, CARLOW","R93","11/11/2011","145000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"31 DOLMEN GARDENS, POLLERTON, CARLOW, CARLOW","NA","11/11/2011","130000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"31 OAKLEY PARK, TULLOW ROAD, CARLOW, CARLOW","R93","07/11/2011","120000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"4 SHAW PARK, ATHY ROAD, CARLOW, CARLOW","R93","07/11/2011","60800.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"EAGLE HILL, HACKETSTOWN","R93","07/11/2011","20000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"NO. 6 MOUNT CLARE COURT, KILLSHIN ROAD, CARLOW, CARLOW","NA","05/11/2011","131000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
