"Address","RoutingKey","Date","Price","FullMarketPrice","VATExclusive","DescriptionofProperty","PropertySizeDesc","OtherPropertiesInThisSale"
"81 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW","R93","17/10/2016","162462.56","FALSE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"82 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW","R93","17/10/2016","162462.56","FALSE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"4 BAKERS QUAY, THE QUAY, TINNAHINCH","R95","14/10/2016","61000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"68 GREEN ROAD ESTATE, GREEN ROAD, CO CARLOW","R93","14/10/2016","164000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"NEW DEERPARK, BUNCLODY, WEXFORD","Y21","14/10/2016","281000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"16 STATION MANOR, SHILLELAGH RD, TULLOW","NA","12/10/2016","140000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"13 BRAMBLE COURT, TULLOW, CO CARLOW","R93","11/10/2016","120000.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"14 CATHEDRAL CLOSE, TULLOW ST, CARLOW","R93","11/10/2016","125000.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"KILMEANY, CARLOW","R93","11/10/2016","40000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"12 BRAMBLE COURT, TULLOW, CO CARLOW","R93","10/10/2016","120000.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"BALLYHACKETT, TULLOW, CARLOW","R93","10/10/2016","235000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"139 HUNTERS GREEN, PALATINE RD, CARLOW","NA","07/10/2016","152000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"27 THE PADDOCKS, BROWNESHILL RD, CARLOW","R93","07/10/2016","163000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"3 BEECHWOOD CLOSE, BAGENALSTOWN, CARLOW","R21","07/10/2016","171000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"52 THE DOWNS, POLLERTON, CARLOW","R93","07/10/2016","150000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"ARAGHTY, GRANGEGROVE, TULLOW ROAD","NA","06/10/2016","130000.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"BALLINABRANNA, CARLOW","NA","06/10/2016","140000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"LARK WALK, SLYGUFF, BAGENALSTOWN","NA","05/10/2016","215000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"TOWNSLOUGH, LEIGHINBRIDGE, CARLOW","NA","05/10/2016","205000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"BOHERMORE, BAGENALSTOWN, CARLOW","R21","04/10/2016","185000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"33 WOLSELEY VILLAGE, TULLOW, CARLOW","R93","03/10/2016","120000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"7 COLLEGE GREEN, GREEN RD, CARLOW","R93","30/09/2016","170000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"84 ST KILLIANS CRESENT, CARLOW, CARLOW","NA","30/09/2016","105000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"SHERWOOD, KILDAVIN, BUNCLODY","Y21","30/09/2016","94000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"3 KEVIN BARRY ROAD, RATHVILLY, CO CARLOW","R93","29/09/2016","135000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"7 DONN OR, BROWNS HILL RD, CARLOW","R93","29/09/2016","240000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"WELLINGTON BRIDGE, GRAIGUECULLEN, CARLOW","NA","29/09/2016","60000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 125 SQ METRES","NO OTHER PROPERTIES"
"79 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW","R93","27/09/2016","162462.56","FALSE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"80 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW","R93","27/09/2016","162462.56","FALSE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"143 JKL AVE, CARLOW, CARLOW","NA","26/09/2016","115000.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"21 THE GREEN, ASHFIELD, BAGENALSTOWN","R21","26/09/2016","61850.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"24 THE GREEN, ASHFIELD, BAGENALSTOWN","R21","26/09/2016","61850.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"26 THE GREEN, ASHFIELD, BAGENALSTOWN","R21","26/09/2016","61850.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"30 THE GREEN, ASHFIELD, BAGENALSTOWN","R21","26/09/2016","61850.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"31 THE GREEN, ASHFIELD, BAGENALSTOWN","R21","26/09/2016","61850.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"APARTMENT 18 THE GREEN, ASHFIELD, BAGENALSTOWN","NA","26/09/2016","44052.86","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"THE MOATE HOUSE, TINRYLAND, CARLOW","NA","26/09/2016","355000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"130 BURRIN MANOR, TULLOW RD, CARLOW","R93","23/09/2016","76000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"27 DARGAN LAWNS, BURRIN RD, CARLOW","NA","22/09/2016","125000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"30 CUANAHOWAN, RATHOE RD, TULLOW","NA","22/09/2016","150000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"47 MOUNTCLARE COURT, CRAIGCUECULLEN, CARLOW","NA","22/09/2016","181000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"7 PEMBROOKE COURT, PEMBROOK, CARLOW","NA","22/09/2016","115000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
