"Address","RoutingKey","Date","Price","FullMarketPrice","VATExclusive","DescriptionofProperty","PropertySizeDesc","OtherPropertiesInThisSale"
"64 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW","R93","03/12/2010","175330.39","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"5 MAPLE COURT, RIVERCOURT, O'BRIEN ROAD, CARLOW","NA","02/12/2010","88105.73","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"109 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","30/11/2010","140088.10","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"34 GORT NA GREINE, BALLINABRANNAGH, CARLOW","R93","30/11/2010","157709.25","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"60 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","30/11/2010","131278.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"6 MAPLE ROAD, RIVERCOURT  O BRIEN ROAD, CARLOW, CARLOW","NA","29/11/2010","96915.43","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"36 DUBLIN ROAD, TULLOW, CARLOW","R93","26/11/2010","42000.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"KILCOOLE, CARLOW, CARLOW","R93","26/11/2010","430000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"63 BROWNSHILL WOOD, BROWNSHILL, CARLOW","R93","25/11/2010","149000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"NEWTOWN ROAD, NURNEY, CO. CARLOW, CARLOW","NA","22/11/2010","115000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
