"Date","Price","Url","Address","County"
"20/09/2016","184,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-55DBE8D1B997DC5B8025803C0047775C?OpenDocument","10 PINEWOOD, RATHNAPISH, CARLOW","Carlow"
"19/09/2016","137,500.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-F1A841430BC8FA1C8025803C00477862?OpenDocument","28 ANGLERS WALK, CARLOW, CARLOW","Carlow"
"19/09/2016","268,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-854EDDFE5D69119C80258043004775D2?OpenDocument","3 THE ORCHARDS, CARLOW, CO. CARLOW","Carlow"
"16/09/2016","155,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-6FB344EF0117B5C08025803C00477803?OpenDocument","58 DUBLIN ST, CARLOW, CARLOW","Carlow"
"16/09/2016","123,348.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-E49030ED0DFAFD3D8025803C0047748D?OpenDocument","8 Abbey Close, Tullow","Carlow"
"16/09/2016","162,500.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-540BF2D6D7316F6F8025804A00477B50?OpenDocument","BILBOA, CARLOW, CARLOW","Carlow"
"15/09/2016","60,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-13822467C13B436780258043004783F9?OpenDocument","18 CENTAUR COURT, CENTAUR ST, CARLOW","Carlow"
"15/09/2016","200,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-0BC317407E3FD3448025803C0047728D?OpenDocument","MULLANNAGAUN, BALLYMURPHY, CO CARLOW","Carlow"
"13/09/2016","95,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-84EF960FFE4E81028025803C004775C3?OpenDocument","2 SPRINGDALE, TULLOW RD, CARLOW","Carlow"
"13/09/2016","85,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-A9E7E978202A7CB88025803C00477495?OpenDocument","6 KILLERIG COURT, KILLERIG GOLF COURSE, KILLERIG","Carlow"
"13/09/2016","85,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-0929FF76C2B5DD228025804300478027?OpenDocument","7 KILLERIG, CARLOW","Carlow"
"13/09/2016","185,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-712E6C58DDD4D9D88025803500477865?OpenDocument","77 Park Gate, Shillelagh Road, Carlow","Carlow"
